Year,State,PIP,QUI,TAR,TOT,PIPPerc,QUIPerc,TARPerc
2003,AL,0,83,0,83,0,1,0
2004,AL,0,27,0,27,0,1,0
2005,AL,0,8,0,8,0,1,0
2002,AL,0,51,0,51,0,1,0
2002,AR,0,1,0,1,0,1,0
2003,AZ,0,20,62,82,0,0.243902439,0.756097561
2004,AZ,0,74,156,230,0,0.32173913,0.67826087
2005,AZ,0,63,244,307,0,0.205211726,0.794788274
2006,AZ,0,140,78,218,0,0.642201835,0.357798165
2007,AZ,0,90,131,221,0,0.407239819,0.592760181
2008,AZ,0,64,100,164,0,0.390243902,0.609756098
2009,AZ,0,26,52,78,0,0.333333333,0.666666667
2003,CA,0,6,26,32,0,0.1875,0.8125
2004,CA,12,740,317,1069,0.011225444,0.692235734,0.296538821
2005,CA,228,472,450,1150,0.19826087,0.410434783,0.391304348
2006,CA,109,268,425,802,0.135910224,0.334164589,0.529925187
2007,CA,280,341,368,989,0.283114257,0.34479272,0.372093023
2008,CA,340,1046,523,1909,0.178103719,0.547930854,0.273965427
2009,CA,171,483,377,1031,0.16585839,0.468477207,0.365664403
2003,CO,181,0,447,628,0.288216561,0,0.711783439
2004,CO,27,0,137,164,0.164634146,0,0.835365854
2005,CO,20,0,98,118,0.169491525,0,0.830508475
2006,CO,108,0,303,411,0.262773723,0,0.737226277
2007,CO,126,0,468,594,0.212121212,0,0.787878788
2008,CO,3,0,40,43,0.069767442,0,0.930232558
2009,CO,21,0,56,77,0.272727273,0,0.727272727
2002,CO,5,0,10,15,0.333333333,0,0.666666667
2000,CT,5,0,0,5,1,0,0
2003,CT,10,0,0,10,1,0,0
2004,CT,35,0,0,35,1,0,0
2005,CT,29,0,0,29,1,0,0
2006,CT,179,0,0,179,1,0,0
2007,CT,65,0,0,65,1,0,0
2008,CT,124,0,0,124,1,0,0
2009,CT,25,0,0,25,1,0,0
2001,CT,13,0,0,13,1,0,0
2002,CT,54,0,0,54,1,0,0
2003,DC,22,0,0,22,1,0,0
2004,DC,18,0,0,18,1,0,0
2005,DC,55,0,0,55,1,0,0
2006,DC,55,0,0,55,1,0,0
2007,DC,11,0,0,11,1,0,0
2002,DC,78,0,0,78,1,0,0
2003,FL,0,2,0,2,0,1,0
2001,FL,0,11,0,11,0,1,0
2003,GA,0,82,0,82,0,1,0
2004,GA,0,113,0,113,0,1,0
2005,GA,0,64,0,64,0,1,0
2006,GA,0,81,0,81,0,1,0
2007,GA,0,63,0,63,0,1,0
2008,GA,0,46,0,46,0,1,0
2009,GA,0,23,0,23,0,1,0
2001,GA,0,2,0,2,0,1,0
2002,GA,1,97,0,98,0.010204082,0.989795918,0
2003,IA,16,0,9,25,0.64,0,0.36
2005,IA,6,0,1,7,0.857142857,0,0.142857143
2006,IA,13,0,2,15,0.866666667,0,0.133333333
2007,IA,4,0,1,5,0.8,0,0.2
2008,IA,3,0,2,5,0.6,0,0.4
2009,IA,9,0,0,9,1,0,0
2002,IA,6,0,1,7,0.857142857,0,0.142857143
2005,ID,9,0,7,16,0.5625,0,0.4375
2006,ID,30,0,155,185,0.162162162,0,0.837837838
2007,ID,1,0,24,25,0.04,0,0.96
2008,ID,0,0,7,7,0,0,1
2009,ID,8,0,23,31,0.258064516,0,0.741935484
2003,IL,180,0,0,180,1,0,0
2004,IL,440,0,0,440,1,0,0
2005,IL,1010,0,0,1010,1,0,0
2006,IL,2197,0,0,2197,1,0,0
2007,IL,1228,0,0,1228,1,0,0
2008,IL,459,0,0,459,1,0,0
2009,IL,249,0,0,249,1,0,0
2002,IL,588,0,0,588,1,0,0
2003,IN,126,0,0,126,1,0,0
2004,IN,130,0,0,130,1,0,0
2005,IN,185,0,0,185,1,0,0
2006,IN,274,0,0,274,1,0,0
2007,IN,119,0,0,119,1,0,0
2008,IN,193,0,0,193,1,0,0
2009,IN,127,0,0,127,1,0,0
2002,IN,380,0,0,380,1,0,0
2003,KS,0,0,33,33,0,0,1
2004,KS,2,0,20,22,0.090909091,0,0.909090909
2005,KS,2,0,23,25,0.08,0,0.92
2006,KS,0,0,2,2,0,0,1
2009,KS,1,0,2,3,0.333333333,0,0.666666667
2002,KS,2,0,8,10,0.2,0,0.8
2003,KY,10,0,0,10,1,0,0
2004,KY,3,0,0,3,1,0,0
2005,KY,1,0,0,1,1,0,0
2007,KY,1,0,0,1,1,0,0
2008,KY,11,0,0,11,1,0,0
2009,KY,1,0,0,1,1,0,0
2001,KY,3,0,0,3,1,0,0
2002,KY,47,0,0,47,1,0,0
2003,LA,0,99,0,99,0,1,0
2004,LA,0,901,0,901,0,1,0
2005,LA,0,1397,0,1397,0,1,0
2007,LA,0,25,0,25,0,1,0
2008,LA,5,832,0,837,0.005973716,0.994026284,0
2009,LA,29,931,0,960,0.030208333,0.969791667,0
2002,LA,0,211,0,211,0,1,0
2003,MA,9,0,0,9,1,0,0
2004,MA,9,0,0,9,1,0,0
2005,MA,78,0,0,78,1,0,0
2006,MA,26,0,0,26,1,0,0
2007,MA,61,0,0,61,1,0,0
2008,MA,128,0,0,128,1,0,0
2009,MA,13,0,0,13,1,0,0
2001,MA,7,0,0,7,1,0,0
2002,MA,17,0,0,17,1,0,0
2003,MD,22,0,0,22,1,0,0
2004,MD,2,0,0,2,1,0,0
2005,MD,6,0,0,6,1,0,0
2006,MD,4,0,0,4,1,0,0
2007,MD,2,0,0,2,1,0,0
2008,MD,3,0,0,3,1,0,0
2009,MD,5,0,0,5,1,0,0
2001,MD,3,0,0,3,1,0,0
2002,MD,50,0,0,50,1,0,0
2003,MI,25,0,0,25,1,0,0
2004,MI,23,0,0,23,1,0,0
2005,MI,27,0,0,27,1,0,0
2006,MI,80,0,0,80,1,0,0
2007,MI,2,0,0,2,1,0,0
2008,MI,2,0,0,2,1,0,0
2009,MI,1,0,0,1,1,0,0
2001,MI,2,0,0,2,1,0,0
2003,MN,7,0,42,49,0.142857143,0,0.857142857
2004,MN,0,0,6,6,0,0,1
2005,MN,3,0,51,54,0.055555556,0,0.944444444
2006,MN,37,0,50,87,0.425287356,0,0.574712644
2007,MN,33,0,47,80,0.4125,0,0.5875
2008,MN,10,0,2,12,0.833333333,0,0.166666667
2009,MN,2,0,0,2,1,0,0
2002,MN,2,0,1,3,0.666666667,0,0.333333333
2003,MO,265,0,0,265,1,0,0
2004,MO,279,0,0,279,1,0,0
2005,MO,159,0,0,159,1,0,0
2006,MO,221,0,0,221,1,0,0
2007,MO,253,0,0,253,1,0,0
2008,MO,215,0,0,215,1,0,0
2009,MO,349,0,0,349,1,0,0
2002,MO,255,0,0,255,1,0,0
2003,MS,0,21,0,21,0,1,0
2004,MS,0,8,0,8,0,1,0
2005,MS,0,4,0,4,0,1,0
2006,MS,0,32,0,32,0,1,0
2007,MS,0,18,0,18,0,1,0
2008,MS,0,2,0,2,0,1,0
2009,MS,0,3,0,3,0,1,0
2002,MS,0,5,0,5,0,1,0
2003,MT,0,0,130,130,0,0,1
2004,MT,0,0,7,7,0,0,1
2005,MT,0,0,15,15,0,0,1
2008,MT,0,0,5,5,0,0,1
2009,MT,0,0,1,1,0,0,1
2003,NC,1,0,0,1,1,0,0
2002,NC,1,0,0,1,1,0,0
2003,ND,0,0,11,11,0,0,1
2004,ND,0,0,2,2,0,0,1
2005,ND,0,0,4,4,0,0,1
2006,ND,0,0,4,4,0,0,1
2007,ND,0,0,7,7,0,0,1
2002,ND,0,0,1,1,0,0,1
2003,NE,26,0,856,882,0.029478458,0,0.970521542
2004,NE,4,0,119,123,0.032520325,0,0.967479675
2005,NE,20,0,363,383,0.052219321,0,0.947780679
2006,NE,10,0,216,226,0.044247788,0,0.955752212
2007,NE,2,0,175,177,0.011299435,0,0.988700565
2008,NE,0,0,86,86,0,0,1
2009,NE,6,0,101,107,0.056074766,0,0.943925234
2002,NE,1,0,222,223,0.004484305,0,0.995515695
2003,NH,5,0,0,5,1,0,0
2001,NH,2,0,0,2,1,0,0
2002,NH,25,0,0,25,1,0,0
2000,NJ,39,0,0,39,1,0,0
2003,NJ,28,0,0,28,1,0,0
2004,NJ,46,0,0,46,1,0,0
2005,NJ,73,0,0,73,1,0,0
2006,NJ,56,0,0,56,1,0,0
2007,NJ,67,0,0,67,1,0,0
2008,NJ,146,0,0,146,1,0,0
2009,NJ,17,0,0,17,1,0,0
2001,NJ,170,0,0,170,1,0,0
2002,NJ,75,0,0,75,1,0,0
2003,NM,0,25,33,58,0,0.431034483,0.568965517
2004,NM,0,27,51,78,0,0.346153846,0.653846154
2005,NM,0,17,38,55,0,0.309090909,0.690909091
2006,NM,0,7,8,15,0,0.466666667,0.533333333
2007,NM,0,47,17,64,0,0.734375,0.265625
2008,NM,0,1,0,1,0,1,0
2004,NV,0,7,82,89,0,0.078651685,0.921348315
2005,NV,3,4,84,91,0.032967033,0.043956044,0.923076923
2006,NV,0,2,119,121,0,0.016528926,0.983471074
2007,NV,0,0,20,20,0,0,1
2008,NV,0,5,28,33,0,0.151515152,0.848484848
2009,NV,0,6,9,15,0,0.4,0.6
2000,NY,303,0,0,303,1,0,0
2003,NY,399,0,0,399,1,0,0
2004,NY,185,0,0,185,1,0,0
2005,NY,374,0,0,374,1,0,0
2006,NY,282,0,0,282,1,0,0
2007,NY,179,0,0,179,1,0,0
2008,NY,256,0,0,256,1,0,0
2009,NY,88,0,0,88,1,0,0
2001,NY,238,0,0,238,1,0,0
2002,NY,396,0,0,396,1,0,0
2001,OH,8,0,0,8,1,0,0
2002,OH,46,0,0,46,1,0,0
2003,OK,7,5,1,13,0.538461538,0.384615385,0.076923077
2004,OK,0,7,10,17,0,0.411764706,0.588235294
2005,OK,0,41,1,42,0,0.976190476,0.023809524
2006,OK,0,89,0,89,0,1,0
2007,OK,0,125,0,125,0,1,0
2008,OK,0,14,0,14,0,1,0
2009,OK,0,10,0,10,0,1,0
2002,OK,0,0,3,3,0,0,1
2005,OR,2,0,7,9,0.222222222,0,0.777777778
2006,OR,0,0,22,22,0,0,1
2007,OR,2,0,23,25,0.08,0,0.92
2008,OR,3,0,8,11,0.272727273,0,0.727272727
2009,OR,75,0,131,206,0.36407767,0,0.63592233
2000,PA,27,0,0,27,1,0,0
2003,PA,410,0,0,410,1,0,0
2004,PA,87,0,0,87,1,0,0
2005,PA,192,0,0,192,1,0,0
2006,PA,99,0,0,99,1,0,0
2007,PA,146,0,0,146,1,0,0
2008,PA,286,0,0,286,1,0,0
2009,PA,190,0,0,190,1,0,0
2001,PA,22,0,0,22,1,0,0
2002,PA,514,0,0,514,1,0,0
2007,PR,0,10,0,10,0,1,0
2003,RI,5,0,0,5,1,0,0
2006,RI,9,0,0,9,1,0,0
2007,RI,4,0,0,4,1,0,0
2008,RI,7,0,0,7,1,0,0
2009,RI,3,0,0,3,1,0,0
2002,RI,2,0,0,2,1,0,0
2003,SC,0,1,0,1,0,1,0
2004,SC,0,1,0,1,0,1,0
2005,SC,0,36,0,36,0,1,0
2006,SC,35,0,0,35,1,0,0
2007,SC,42,0,0,42,1,0,0
2008,SC,8,0,0,8,1,0,0
2009,SC,17,0,0,17,1,0,0
2002,SC,0,2,0,2,0,1,0
2003,SD,1,0,28,29,0.034482759,0,0.965517241
2004,SD,3,0,24,27,0.111111111,0,0.888888889
2005,SD,12,0,132,144,0.083333333,0,0.916666667
2006,SD,8,0,77,85,0.094117647,0,0.905882353
2007,SD,4,0,97,101,0.03960396,0,0.96039604
2008,SD,0,0,39,39,0,0,1
2009,SD,1,0,25,26,0.038461538,0,0.961538462
2002,SD,0,0,2,2,0,0,1
2003,TX,0,716,63,779,0,0.919127086,0.080872914
2004,TX,0,749,20,769,0,0.973992198,0.026007802
2005,TX,0,1036,4,1040,0,0.996153846,0.003846154
2006,TX,0,1237,14,1251,0,0.988808953,0.011191047
2007,TX,0,362,23,385,0,0.94025974,0.05974026
2008,TX,0,107,2,109,0,0.981651376,0.018348624
2009,TX,0,366,8,374,0,0.978609626,0.021390374
2002,TX,0,258,1,259,0,0.996138996,0.003861004
2003,UT,0,0,2,2,0,0,1
2004,UT,0,0,51,51,0,0,1
2005,UT,9,0,72,81,0.111111111,0,0.888888889
2006,UT,209,0,256,465,0.449462366,0,0.550537634
2007,UT,59,0,164,223,0.264573991,0,0.735426009
2008,UT,22,0,113,135,0.162962963,0,0.837037037
2009,UT,60,0,209,269,0.223048327,0,0.776951673
2003,VA,294,0,0,294,1,0,0
2004,VA,330,0,0,330,1,0,0
2005,VA,284,0,0,284,1,0,0
2006,VA,354,0,0,354,1,0,0
2007,VA,668,0,0,668,1,0,0
2008,VA,530,0,0,530,1,0,0
2009,VA,124,0,0,124,1,0,0
2002,VA,166,0,0,166,1,0,0
2004,VT,7,0,0,7,1,0,0
2005,VT,2,0,0,2,1,0,0
2008,VT,1,0,0,1,1,0,0
2009,VT,2,0,0,2,1,0,0
2002,VT,11,0,0,11,1,0,0
2005,WA,2,0,0,2,1,0,0
2008,WA,49,0,8,57,0.859649123,0,0.140350877
2009,WA,160,0,186,346,0.462427746,0,0.537572254
2004,WI,1,0,0,1,1,0,0
2005,WI,22,0,0,22,1,0,0
2006,WI,115,0,0,115,1,0,0
2008,WI,1,0,0,1,1,0,0
2004,WV,2,0,0,2,1,0,0
2006,WV,1,0,0,1,1,0,0
2003,WY,0,0,3,3,0,0,1
2006,WY,0,0,1,1,0,0,1
2007,WY,0,0,1,1,0,0,1
2009,WY,0,0,21,21,0,0,1